target,task,model,fold,r2,rmse,mae,estimator
PhonemicFluencyScore,cookieTheft,linguistic,1,0.013926063413544298,4.390219528909551,3.4951402120534887,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,linguistic,2,-0.027282139152167373,4.861347713417192,3.9294272578722884,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,linguistic,3,-0.01326887243223096,4.404278252466249,3.6105481738721865,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,linguistic,4,0.05685830393293545,4.731309040059491,3.6276335069381695,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,0,0.050735028045183594,4.591909481263419,3.5949239886173543,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,1,0.02503975484404286,4.3654091157914925,3.546843244042708,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,2,0.030332294940463522,4.723058042538024,3.8090571952630055,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,3,0.019106784833336388,4.333344966793203,3.5294978444096206,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,4,0.07785273294352968,4.678352972134532,3.6222234192007736,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,full,0,0.05345418025163906,4.585328044284054,3.593946618057292,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,full,1,0.028046912260633827,4.3586716048694685,3.537149673168157,RandomForestRegressor
PhonemicFluencyScore,cookieTheft,full,2,0.040452695274444395,4.698346168065705,3.7724261420078964,RandomForestRegressor
